,cal_y,cal_x1,cal_x2,cal_coordsX,cal_coordsY,time_stamp
0,217.8419242,108.9908199,49.47720593,0,5,93037
1,201.8650229,90.30526451,59.3855943,0,9,93037
2,306.1269615,101.5390301,54.33395582,0,15,93037
3,211.3994225,97.50528123,66.78295542,1,1,93037
4,262.6492504,101.7481446,54.63152111,1,9,93037
5,320.2023892,99.80418423,48.79516417,1,13,93037
6,218.5135453,95.85430031,39.79361129,2,4,93037
7,238.414158,100.7667024,44.27180497,2,5,93037
8,290.4143287,107.8470456,49.26139278,2,8,93037
9,351.8318894,98.79855539,44.15071794,2,14,93037
10,392.6020085,98.45504976,48.97631709,3,13,93037
11,367.8465957,86.40258303,54.76087242,3,21,93037
12,345.3642209,88.22506066,40.42880324,4,10,93037
13,417.0576665,99.28910889,44.26875045,4,22,93037
14,387.8545403,91.38016245,52.20180117,5,8,93037
15,383.5654127,81.09403619,48.68793551,5,17,93037
16,412.88803,90.8879601,48.35011565,5,18,93037
17,440.9631806,95.29910545,55.61412749,6,8,93037
18,515.3903213,107.0281003,54.08030607,6,19,93037
19,279.9904988,107.9894604,50.78261059,7,2,93037
20,465.0824664,105.3371738,49.8052436,7,8,93037
21,475.9837963,89.40337718,56.63990125,7,10,93037
22,463.6507774,99.49074634,47.62004859,7,11,93037
23,483.2351775,112.2738088,45.05904213,7,13,93037
24,479.6189408,91.43773083,53.60979221,7,20,93037
25,215.9076212,103.3074695,52.77907872,8,0,93037
26,481.1453445,101.5626481,56.55526606,8,7,93037
27,468.5054933,93.12507788,54.05956302,8,8,93037
28,520.3571516,113.9526266,50.93198362,8,10,93037
29,536.8861959,113.8122777,45.06463741,8,16,93037
30,453.3200726,93.52426636,45.63261435,8,21,93037
31,339.8943566,121.2007049,53.1437669,9,2,93037
32,424.8859116,100.0371725,53.00922741,9,5,93037
33,446.4167156,100.5217796,55.76388509,9,23,93037
34,469.1605655,92.82704016,54.95012963,10,7,93037
35,600.0387174,116.8523816,47.53090362,10,18,93037
36,495.8924846,100.7043438,52.76661965,10,21,93037
37,444.7330463,103.1033924,47.16331397,10,23,93037
38,404.3257422,95.58017766,36.46883912,11,8,93037
39,503.9250364,107.5807793,50.14292072,11,9,93037
40,499.9321753,93.37548219,53.90889669,11,10,93037
41,556.9261391,101.4601169,54.69646139,11,12,93037
42,517.505874,99.30905789,44.3561376,12,12,93037
43,370.1742836,92.50908238,39.09611861,13,5,93037
44,513.0063679,103.560588,46.42946538,13,10,93037
45,657.8645852,103.194498,63.70012068,13,14,93037
46,454.9645193,95.14400285,47.89560349,14,24,93037
47,475.4646728,98.8522874,53.76688246,15,7,93037
48,560.4438209,97.77198573,51.12344567,15,11,93037
49,291.598424,100.1185072,47.5826595,16,0,93037
50,529.376167,93.94357555,46.2541229,16,14,93037
51,303.4728362,102.012985,51.11652912,17,0,93037
52,508.953523,110.5028435,48.75362441,17,7,93037
53,536.1336451,93.10528957,51.56000064,17,14,93037
54,505.0437399,96.50120718,49.22042139,17,23,93037
55,540.2923341,110.0418389,48.03403592,18,8,93037
56,568.4698928,113.1255866,47.5697164,18,9,93037
57,512.8267743,107.4047594,57.21979729,19,6,93037
58,559.9315276,96.684459,54.41048713,19,17,93037
59,468.8437752,92.81876642,44.83278396,20,9,93037
60,319.634002,93.81828678,49.85999115,21,1,93037
61,567.1562393,97.86177877,55.74205394,21,17,93037
62,380.6372918,113.3519976,44.65991622,22,1,93037
63,530.9913358,111.6701298,50.50987751,22,12,93037
64,546.6766582,100.7172207,46.49704256,22,19,93037
65,483.1193815,96.1869433,62.51881337,23,12,93037
66,516.4940664,95.35748443,54.7577668,23,23,93037
0,128.8344394,-92.73051018,264.2478143,0,10,93437
1,71.64991784,-105.5475105,249.9139542,0,11,93437
2,437.623607,-87.40138294,255.590542,2,6,93437
3,283.1954834,-114.328553,246.6251082,2,17,93437
4,528.8813475,-99.40092847,250.2972404,3,6,93437
5,483.9625017,-101.4708918,245.9209036,3,13,93437
6,292.2129332,-91.43349506,252.1422201,4,1,93437
7,466.9113334,-101.1793139,256.7462658,4,3,93437
8,586.484339,-93.9897046,249.5216894,4,5,93437
9,632.5092289,-99.82555168,248.589812,4,7,93437
10,418.1677446,-109.7172235,250.587066,4,19,93437
11,289.43258,-90.52887552,248.4131363,4,21,93437
12,719.2919653,-111.5152842,249.5447686,5,12,93437
13,690.5039947,-98.28979498,245.1028795,5,16,93437
14,525.9207383,-98.59302809,260.8117896,5,19,93437
15,513.2645324,-98.3747398,248.2979695,6,19,93437
16,333.8318397,-98.64748993,256.9235846,6,21,93437
17,18.73840716,-93.29301979,247.8029496,6,24,93437
18,700.727179,-90.02671163,250.5843247,7,5,93437
19,711.0550359,-94.62187885,257.8188835,8,5,93437
20,684.0265469,-114.3507053,235.71682,8,7,93437
21,898.2424788,-95.15137585,250.3939488,8,9,93437
22,746.1797628,-100.6323387,257.4327365,8,17,93437
23,122.3326251,-112.1459054,241.2577264,9,0,93437
24,991.9752545,-94.17137353,252.2906332,9,13,93437
25,283.2448975,-92.9360667,262.4754987,9,22,93437
26,820.3688794,-87.49488238,252.3471535,10,16,93437
27,706.2555255,-98.57241526,252.1592502,10,17,93437
28,768.8855289,-106.504478,248.0405461,11,7,93437
29,854.3763329,-106.9554042,250.7409406,11,8,93437
30,581.5514896,-91.87263882,257.49908,11,19,93437
31,899.0854769,-96.24253849,259.1634561,12,8,93437
32,577.6036781,-91.54369595,237.8159171,12,18,93437
33,872.3747313,-104.1986349,253.7965466,13,10,93437
34,646.2712128,-99.31975401,238.4218057,13,16,93437
35,278.6059229,-97.32287275,254.5633247,13,21,93437
36,796.0767344,-102.0255517,255.6502594,14,12,93437
37,649.0421117,-96.86452075,253.986272,14,17,93437
38,626.6072164,-103.9278314,254.0690333,15,6,93437
39,-0.799524876,-110.6283281,240.4301044,16,1,93437
40,305.0120034,-98.82776438,246.6852699,16,3,93437
41,447.3655613,-86.17148123,247.9927204,16,4,93437
42,581.0573247,-98.15711788,250.1955851,16,6,93437
43,757.7286681,-83.13811636,253.8065334,16,12,93437
44,444.1617431,-106.7869351,247.5884444,16,18,93437
45,-115.9636222,-90.68788995,254.1312281,16,23,93437
46,290.6256794,-96.12844934,240.512955,17,3,93437
47,424.9391652,-89.8131463,239.7455085,17,18,93437
48,81.8707669,-105.1200509,264.5199977,18,1,93437
49,189.9392606,-97.93457537,246.30698,18,2,93437
50,-289.9543159,-107.5701188,249.734406,18,24,93437
51,89.45307325,-104.9109411,254.0939284,19,1,93437
52,89.87672233,-94.03480008,259.1854534,19,21,93437
53,-55.54710969,-86.43728365,253.8750643,19,23,93437
54,114.1716212,-99.96014575,254.7854704,20,1,93437
55,405.0976272,-91.09869859,247.8665993,20,8,93437
56,54.16355677,-92.55807251,242.7249844,20,21,93437
57,356.5838483,-94.58355613,247.4696214,21,9,93437
58,19.78100037,-91.09151565,251.0352664,21,22,93437
59,180.2611611,-96.27585148,246.8493086,22,6,93437
