,cal_y,cal_x1,cal_x2,cal_coordsX,cal_coordsY
0,153.88530629282138,104.17204424108698,47.51375104683,0,0
1,242.07582440160016,111.32610357584704,52.80757546845654,0,8
2,294.15020500711535,110.99680301221619,50.967323823836935,0,14
3,178.53060165036604,103.55792578010904,50.273317849197596,1,1
4,356.6833637768993,110.40136077989519,55.75613194176615,1,16
5,352.75254262294214,104.14801920893271,48.92268849775236,3,10
6,427.85899459350674,106.45812882255437,57.33553290743524,3,19
7,414.88949819788456,107.39874429230407,47.71457907548143,4,13
8,392.49693520323126,97.31838109432208,51.482794807898976,5,9
9,451.0828501405833,113.3965120688931,54.13694087007643,5,10
10,488.8192715710683,114.02795345338373,53.723578035914485,5,14
11,446.5142786782045,113.70039489784702,55.86700396796927,5,24
12,482.66764536864275,99.3399818855398,60.13442486473957,6,11
13,516.7242568381043,115.5690430306435,50.78397487363127,6,16
14,225.37302825837722,101.8153929086838,61.22895183792251,7,0
15,427.33445969561785,101.28171078594536,45.98415890995469,7,9
16,447.4086272253448,91.05431940340414,51.81919098526659,8,9
17,521.8256394038009,101.47661846184899,59.54470466350373,8,10
18,486.7672917292337,106.96947198449499,41.98685221631084,8,13
19,289.39781824297347,97.67853662583049,46.427697031849355,9,2
20,524.891743934105,107.32864765514796,46.23579867670467,9,13
21,585.0920579220561,104.63819236477158,63.363627348160016,9,18
22,499.01977058193256,104.62813195220771,56.5355661145208,9,22
23,488.48465946028523,110.96270852029362,57.8074736320656,10,6
24,514.03503827558,98.24512863194752,49.59229214026928,10,11
25,498.2966820706041,87.62926514537867,50.632476099295914,10,12
26,530.1253489682201,97.69002524727497,49.91819826687322,10,17
27,529.4513994969219,105.70215579330738,49.3791548232865,10,20
28,486.4103580666142,102.94042830675383,42.47343755346627,10,21
29,588.5059319853065,103.4062657183657,54.744227363590454,11,15
30,480.11660223696487,93.57812874838648,56.75604076930158,11,22
31,570.273181557058,104.91282584156129,46.71308133174507,13,17
32,317.1498151142258,107.47596704567226,44.57714050258326,14,1
33,412.70171196967436,95.47296173049314,52.87575683187872,15,4
34,445.41973916792904,109.68537954854582,43.24118355899325,15,5
35,547.1221918643785,102.3494330603769,52.595310121239734,15,9
36,566.6756190047516,95.87487326543064,54.9008788262466,15,11
37,558.6159332318971,101.67087280278743,45.87072553250041,15,13
38,594.7356688429627,108.11091601564978,47.61500614529366,15,17
39,512.1786928654755,105.76841512601283,51.227492465494,16,24
40,281.3137734747457,96.81034103488439,44.538698735066426,17,0
41,551.2519157747553,102.35094699317608,54.872788741460624,17,9
42,552.9731376717997,112.82713007899791,52.48491590993141,18,8
43,584.004032888832,115.53099954271158,42.05037824089668,18,13
44,575.5652521361891,111.45091394164994,42.70397668506762,18,21
45,388.18961502089996,100.09427005706027,47.327440147418955,19,3
46,447.50612136675477,93.38528812158371,38.21668011658987,19,9
47,321.33422652509614,98.70301918264788,54.99165568594177,20,0
48,368.6444238789942,100.78753059109762,47.577504385466284,20,2
49,494.15399960069,109.8091908674366,53.54208078300831,20,6
50,453.4291161275818,97.47099065747311,34.559374323084455,20,10
51,328.87752139406416,96.48096728234613,41.23018255539962,21,1
52,482.1546927937921,116.95429704492386,36.27719169776746,21,7
53,549.7838103175757,105.93761048554117,48.943409434679744,21,14
54,492.2455914344549,84.57283792909907,55.96776904383928,21,16
55,385.29296243295533,110.32119092868163,50.841690030902896,22,1
56,372.24536578932657,102.18238765873811,45.78309014027012,22,2
57,524.4962501010202,100.29790036413952,43.78203240354495,22,19
58,576.4942464994305,110.27591342270878,41.24762643852142,22,24
59,355.45014844429915,104.50588331210614,47.79047037861579,23,0
60,329.0517316359007,93.73858206235204,40.10072136423481,23,1
61,384.58718448055015,99.02603539590835,44.31635200358812,23,4
62,404.5257856531652,101.93656125476409,43.5267995773069,23,5
63,440.5233023640318,97.36288262221814,50.337251582612744,23,9
64,436.0172726914348,100.4060330999359,56.533781684985044,24,9
65,555.8237804959626,100.1045351824124,52.33089144585989,24,24
