,LST,GNDBI,GNDVI,LNDVI,X,Y,Year
0,52.55001831,-9.1909,0.905,0.005536463,395220,3710550,1995
1,51.8500061,-9.5002,0.8671,-0.00582749,395490,3710550,1995
2,51.25,-6.3655,-1.4688,-0.167691107,396090,3710550,1995
3,49.8500061,-7.3657,-2.2125,0.137360322,396690,3710550,1995
4,47.05001831,-11.1215,2.9539,0.412603792,397290,3710550,1995
5,48.15002441,-12.468,-0.8708,0.001061637,398190,3710550,1995
6,45.25,-11.8091,17.4601,2.363862113,398760,3710550,1995
7,45.25,-9.9717,18.4029,3.75699801,398850,3710550,1995
8,48.75,-12.4694,6.308,-0.341645911,400200,3710550,1995
9,45.25,-18.0215,12.9565,2.681906356,400620,3710550,1995
10,49.3500061,-12.0804,4.5433,-0.036632886,401340,3710550,1995
11,49.75,-4.1234,-2.7056,0.01372746,403710,3710550,1995
12,47.45001221,-9.5473,6.6416,0.4054313,404940,3710550,1995
13,49.95001221,-10.6102,1.594,0.035369978,397620,3710520,1995
14,50.75,-9.3482,0.1374,-0.009907105,404640,3710520,1995
15,44.75,-14.9515,17.6818,0.475260373,398670,3710490,1995
16,47.95001221,-8.8614,10.4528,0.506125857,399180,3710490,1995
17,46.75,-14.4116,8.1175,0.315538617,399600,3710490,1995
18,48.05001831,-13.3464,10.1481,0.80369757,399840,3710490,1995
19,50.8500061,-5.2817,-1.7599,-0.131508388,403530,3710490,1995
20,50.65002441,-7.8433,-3.1463,-0.222240907,396270,3710460,1995
21,50.65002441,-8.3657,-4.0162,0.230079592,396510,3710460,1995
22,50.3500061,-11.2893,0.134,-0.013233723,397800,3710460,1995
23,47.15002441,-14.4279,3.615,-0.213460741,398250,3710460,1995
24,44.75,-16.3896,16.8768,2.919628143,398610,3710460,1995
25,47.95001221,-10.0024,17.7336,4.116253158,398820,3710460,1995
26,47.45001221,-8.791,13.1532,0.026575499,399120,3710460,1995
27,47.05001831,-12.2325,7.267,0.856991284,400290,3710460,1995
28,51.55001831,-13.2155,7.1902,0.162299353,400500,3710460,1995
29,50.3500061,-8.8338,-0.6197,0.048431311,401100,3710460,1995
30,47.55001831,-13.1291,5.9434,0.815156657,402210,3710460,1995
31,50.45001221,-7.707,-1.1125,0.047293366,402990,3710460,1995
32,52.8500061,-7.5707,-6.1951,0.594201862,404400,3710460,1995
33,45.55001831,-11.0481,9.8832,2.954812483,404940,3710460,1995
34,53.15002441,-9.7335,1.3455,0.000955275,395250,3710430,1995
35,47.8500061,-14.521,2.4683,0.163155442,398190,3710430,1995
36,47.75,-9.4262,13.1437,0.166006712,399120,3710430,1995
37,45.8500061,-12.4925,10.3699,1.349763213,399360,3710430,1995
38,49.55001831,-11.0487,2.7747,0.318758566,401850,3710430,1995
39,50.05001831,-10.1993,1.9619,-0.098124051,402030,3710430,1995
40,50.8500061,-6.3096,-0.2347,-0.004683407,403500,3710430,1995
41,51.8500061,-9.7877,1.1803,0.062052371,395340,3710400,1995
42,52.65002441,-9.4933,1.5466,-0.046929688,395850,3710400,1995
43,50.65002441,-8.3519,-3.1338,0.165238386,396330,3710400,1995
44,50.55001831,-9.495,-1.9016,0.149837689,396720,3710400,1995
45,50.05001831,-12.3243,2.2058,-0.069524189,397200,3710400,1995
46,49.3500061,-11.2564,16.9694,1.170662596,398820,3710400,1995
47,47.3500061,-11.8323,9.4979,1.697961916,399330,3710400,1995
48,51.3500061,-11.6261,5.196,0.540115618,400560,3710400,1995
49,49.45001221,-11.6641,4.1992,-0.137957218,401820,3710400,1995
50,48.45001221,-11.6723,2.1286,0.007957742,402720,3710400,1995
51,50.25,-5.1625,0.2248,0.009484165,403620,3710400,1995
52,51.95001221,-3.1603,-9.5776,0.553310713,404280,3710400,1995
53,52.05001831,-10.7307,3.0407,0.016182992,395730,3710370,1995
54,50.8500061,-10.1662,-1.8141,0.168342743,396720,3710370,1995
55,47.45001221,-13.7626,8.3317,0.37965205,400830,3710370,1995
56,49.75,-10.2413,0.0192,-0.004284306,401220,3710370,1995
57,49.95001221,-13.868,6.1218,0.743621795,401550,3710370,1995
58,52.3500061,-0.9816,-8.6309,0.681079841,404010,3710370,1995
59,52.45001221,-9.6968,1.6473,-0.016538524,395280,3710340,1995
60,49.8500061,-10.3017,-4.3022,0.295365047,396510,3710340,1995
61,50.05001831,-12.2665,1.6451,0.136110579,397530,3710340,1995
62,49.05001831,-12.7266,18.3845,3.466566346,398910,3710340,1995
63,50.65002441,-9.7168,-0.609,0.043229197,401100,3710340,1995
